name,season,age,team_id,pos,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,efg_pct,ft_pct,orb_per_g,drb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,height,weight
Arron Afflalo,2013.0,28.0,ORL,SG,73.0,73.0,35.0,0.459,0.427,0.473,0.522,0.815,0.4,3.2,3.4,0.5,0.0,2.0,1.9,18.2,77,210.0
Arron Afflalo,2014.0,29.0,DEN,SG,53.0,53.0,33.0,0.428,0.337,0.481,0.49,0.841,0.4,3.0,1.9,0.6,0.1,1.6,2.0,14.5,77,210.0
Arron Afflalo,2014.0,29.0,POR,SG,25.0,19.0,30.1,0.414,0.4,0.423,0.493,0.851,0.2,2.4,1.1,0.4,0.1,1.3,2.4,10.6,77,210.0
Arron Afflalo,2015.0,30.0,NYK,SG,71.0,57.0,33.4,0.443,0.382,0.469,0.5,0.84,0.3,3.4,2.0,0.4,0.1,1.2,2.0,12.8,77,210.0
Arron Afflalo,2016.0,31.0,SAC,SG,61.0,45.0,25.9,0.44,0.411,0.457,0.514,0.892,0.1,1.9,1.3,0.3,0.1,0.7,1.7,8.4,77,210.0
Arron Afflalo,2017.0,32.0,ORL,SG,53.0,3.0,12.9,0.401,0.386,0.413,0.485,0.846,0.1,1.2,0.6,0.1,0.2,0.4,1.1,3.4,77,210.0
Maurice Ager,2008.0,24.0,NJN,SG,20.0,0.0,4.9,0.349,0.0,0.405,0.349,0.5,0.2,0.4,0.2,0.1,0.1,0.2,0.9,1.7,77,202.0
Maurice Ager,2010.0,26.0,MIN,SG,4.0,0.0,7.3,0.545,0.75,0.429,0.682,0.0,0.0,0.5,0.3,0.3,0.0,1.0,1.0,3.8,77,202.0
Blake Ahearn,2008.0,24.0,SAS,PG,3.0,0.0,6.3,0.333,0.5,0.0,0.5,1.0,0.0,0.3,0.7,0.3,0.0,0.3,1.0,2.7,74,190.0
Blake Ahearn,2011.0,27.0,UTA,PG,4.0,0.0,7.5,0.286,0.222,0.4,0.357,0.0,0.0,0.5,0.3,0.0,0.0,1.3,1.0,2.5,74,190.0
Alexis Ajinca,2008.0,20.0,CHA,PF,31.0,4.0,5.9,0.362,0.0,0.373,0.362,0.714,0.3,0.7,0.1,0.2,0.2,0.4,1.1,2.3,86,248.0
Alexis Ajinca,2009.0,21.0,CHA,C,6.0,0.0,5.0,0.5,0.0,0.5,0.5,0.0,0.2,0.5,0.0,0.2,0.2,0.3,0.8,1.7,86,248.0
Alexis Ajinca,2010.0,22.0,DAL,C,10.0,2.0,7.5,0.375,0.429,0.36,0.422,0.667,0.5,1.2,0.2,0.3,0.5,0.1,1.3,2.9,86,248.0
Alexis Ajinca,2010.0,22.0,TOR,C,24.0,0.0,11.0,0.465,0.333,0.514,0.51,0.733,0.5,2.0,0.3,0.3,0.6,0.7,2.5,4.8,86,248.0
Alexis Ajinca,2013.0,25.0,NOP,C,56.0,30.0,17.0,0.546,0.0,0.548,0.546,0.836,1.7,3.3,0.7,0.4,0.8,1.1,3.3,5.9,86,248.0
Alexis Ajinca,2014.0,26.0,NOP,C,68.0,8.0,14.1,0.55,0.0,0.55,0.55,0.818,1.5,3.1,0.7,0.3,0.8,1.0,2.2,6.5,86,248.0
Alexis Ajinca,2015.0,27.0,NOP,C,59.0,17.0,14.6,0.476,0.0,0.478,0.476,0.839,1.3,3.3,0.5,0.3,0.6,0.9,2.3,6.0,86,248.0
Alexis Ajinca,2016.0,28.0,NOP,C,39.0,15.0,15.0,0.5,0.0,0.511,0.5,0.725,1.2,3.4,0.3,0.5,0.6,0.8,2.0,5.3,86,248.0
Josh Akognon,2012.0,26.0,DAL,PG,3.0,0.0,3.0,0.5,0.5,0.5,0.625,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,1.7,71,185.0
Solomon Alabi,2010.0,22.0,TOR,C,12.0,0.0,4.9,0.2,0.0,0.2,0.2,0.0,0.6,0.6,0.2,0.2,0.2,0.3,0.4,0.5,85,251.0
Solomon Alabi,2011.0,23.0,TOR,C,14.0,0.0,8.7,0.361,0.0,0.361,0.361,0.875,1.1,2.3,0.2,0.1,0.6,0.4,0.8,2.4,85,251.0
Furkan Aldemir,2014.0,23.0,PHI,PF,41.0,9.0,13.2,0.513,0.0,0.548,0.513,0.481,1.9,2.4,0.7,0.4,0.4,0.4,2.3,2.3,82,240.0
Cole Aldrich,2010.0,22.0,OKC,C,18.0,0.0,7.9,0.533,0.0,0.533,0.533,0.5,0.7,1.2,0.2,0.3,0.4,0.4,1.7,1.0,83,250.0
Cole Aldrich,2011.0,23.0,OKC,C,26.0,0.0,6.7,0.524,0.0,0.524,0.524,0.929,0.5,1.3,0.1,0.3,0.6,0.3,0.8,2.2,83,250.0
Cole Aldrich,2012.0,24.0,HOU,C,30.0,0.0,7.1,0.535,0.0,0.535,0.535,0.444,0.4,1.5,0.2,0.1,0.3,0.5,1.4,1.7,83,250.0
Cole Aldrich,2012.0,24.0,SAC,C,15.0,0.0,11.7,0.568,0.0,0.568,0.568,0.727,1.2,3.0,0.2,0.1,0.9,0.6,1.3,3.3,83,250.0
Cole Aldrich,2013.0,25.0,NYK,C,46.0,2.0,7.2,0.541,0.0,0.541,0.541,0.867,0.8,2.0,0.3,0.2,0.7,0.4,0.9,2.0,83,250.0
Cole Aldrich,2014.0,26.0,NYK,C,61.0,16.0,16.0,0.478,0.0,0.478,0.478,0.781,1.7,3.9,1.2,0.6,1.1,1.0,2.0,5.5,83,250.0
Cole Aldrich,2015.0,27.0,LAC,C,60.0,5.0,13.3,0.596,0.0,0.596,0.596,0.714,1.4,3.4,0.8,0.8,1.1,1.1,2.3,5.5,83,250.0
Cole Aldrich,2016.0,28.0,MIN,C,62.0,0.0,8.6,0.523,0.0,0.523,0.523,0.682,0.8,1.7,0.4,0.4,0.4,0.3,1.4,1.7,83,250.0
Cole Aldrich,2017.0,29.0,MIN,C,21.0,0.0,2.3,0.333,0.0,0.333,0.333,0.333,0.1,0.6,0.1,0.1,0.0,0.0,0.5,0.6,83,250.0
LaMarcus Aldridge,2008.0,23.0,POR,PF,81.0,81.0,37.1,0.484,0.25,0.489,0.486,0.781,2.9,4.6,1.9,1.0,1.0,1.5,2.6,18.1,83,260.0
LaMarcus Aldridge,2009.0,24.0,POR,PF,78.0,78.0,37.5,0.495,0.313,0.498,0.497,0.757,2.5,5.6,2.1,0.9,0.6,1.3,3.0,17.9,83,260.0
LaMarcus Aldridge,2010.0,25.0,POR,PF,81.0,81.0,39.6,0.5,0.174,0.505,0.501,0.791,3.4,5.3,2.1,1.0,1.2,1.9,2.7,21.8,83,260.0
LaMarcus Aldridge,2011.0,26.0,POR,PF,55.0,55.0,36.3,0.512,0.182,0.516,0.513,0.814,2.7,5.3,2.4,0.9,0.8,2.0,2.8,21.7,83,260.0
LaMarcus Aldridge,2012.0,27.0,POR,PF,74.0,74.0,37.7,0.484,0.143,0.488,0.485,0.81,2.4,6.7,2.6,0.8,1.2,1.9,2.5,21.1,83,260.0
LaMarcus Aldridge,2013.0,28.0,POR,PF,69.0,69.0,36.2,0.458,0.2,0.461,0.459,0.822,2.4,8.7,2.6,0.9,1.0,1.8,2.1,23.2,83,260.0
LaMarcus Aldridge,2014.0,29.0,POR,PF,71.0,71.0,35.4,0.466,0.352,0.475,0.479,0.845,2.5,7.7,1.7,0.7,1.0,1.7,1.8,23.4,83,260.0
LaMarcus Aldridge,2015.0,30.0,SAS,PF,74.0,74.0,30.6,0.513,0.0,0.521,0.513,0.858,2.4,6.2,1.5,0.5,1.1,1.3,2.0,18.0,83,260.0
LaMarcus Aldridge,2016.0,31.0,SAS,PF,72.0,72.0,32.4,0.477,0.411,0.48,0.488,0.812,2.4,4.9,1.9,0.6,1.2,1.4,2.2,17.3,83,260.0
LaMarcus Aldridge,2017.0,32.0,SAS,C,75.0,75.0,33.5,0.51,0.293,0.526,0.52,0.837,3.3,5.2,2.0,0.6,1.2,1.5,2.1,23.1,83,260.0
Cliff Alexander,2015.0,20.0,POR,PF,8.0,0.0,4.5,0.5,0.0,0.5,0.5,0.0,0.3,0.5,0.0,0.1,0.3,0.1,0.1,1.3,80,245.0
Joe Alexander,2008.0,22.0,MIL,SF,59.0,0.0,12.1,0.416,0.348,0.432,0.449,0.699,0.7,1.2,0.7,0.3,0.5,0.9,1.8,4.7,80,230.0
Joe Alexander,2009.0,23.0,CHI,SF,8.0,0.0,3.6,0.167,0.0,0.2,0.167,0.667,0.3,0.4,0.3,0.1,0.1,0.0,1.1,0.5,80,230.0
Jarrett Allen,2017.0,19.0,BRK,C,72.0,31.0,20.0,0.589,0.333,0.599,0.596,0.776,2.0,3.4,0.7,0.4,1.2,1.1,2.0,8.2,83,237.0
Kadeem Allen,2017.0,25.0,BOS,PG,18.0,1.0,5.9,0.273,0.0,0.545,0.273,0.778,0.2,0.4,0.7,0.2,0.1,0.5,0.8,1.1,75,192.0
Lavoy Allen,2011.0,22.0,PHI,PF,41.0,15.0,15.2,0.473,0.0,0.473,0.473,0.786,1.1,3.0,0.8,0.3,0.4,0.5,1.8,4.1,81,260.0
Lavoy Allen,2012.0,23.0,PHI,C,79.0,37.0,21.1,0.454,0.0,0.455,0.454,0.717,2.0,3.0,0.9,0.3,0.7,0.7,2.3,5.8,81,260.0
Lavoy Allen,2013.0,24.0,PHI,PF,51.0,2.0,18.8,0.44,0.154,0.455,0.444,0.675,2.1,3.4,1.3,0.4,0.5,0.8,2.3,5.2,81,260.0
Lavoy Allen,2013.0,24.0,IND,PF,14.0,0.0,8.0,0.5,0.0,0.5,0.5,0.6,0.9,1.5,0.4,0.1,0.4,0.3,0.8,2.9,81,260.0
Lavoy Allen,2014.0,25.0,IND,C,63.0,0.0,17.0,0.472,0.0,0.472,0.472,0.702,2.0,3.2,1.2,0.2,0.7,0.6,1.6,5.0,81,260.0
Lavoy Allen,2015.0,26.0,IND,PF,79.0,28.0,20.2,0.516,0.0,0.516,0.516,0.63,2.1,3.3,1.0,0.3,0.5,0.9,1.9,5.4,81,260.0
Lavoy Allen,2016.0,27.0,IND,PF,61.0,5.0,14.3,0.458,0.0,0.461,0.458,0.697,1.7,1.9,0.9,0.3,0.4,0.5,1.3,2.9,81,260.0
Malik Allen,2008.0,30.0,MIL,PF,49.0,3.0,11.8,0.429,0.0,0.432,0.429,0.476,0.7,1.4,0.7,0.1,0.2,0.4,1.8,3.2,82,255.0
Malik Allen,2009.0,31.0,DEN,PF,51.0,3.0,8.9,0.397,0.167,0.409,0.401,0.923,0.7,0.9,0.3,0.2,0.1,0.4,1.3,2.1,82,255.0
Malik Allen,2010.0,32.0,ORL,PF,18.0,0.0,9.9,0.355,0.0,0.355,0.355,0.5,0.7,1.1,0.2,0.1,0.2,0.2,1.7,1.3,82,255.0
Ray Allen,2008.0,33.0,BOS,SG,79.0,79.0,36.4,0.48,0.409,0.542,0.575,0.952,0.8,2.7,2.8,0.9,0.2,1.7,2.0,18.2,77,205.0
Ray Allen,2009.0,34.0,BOS,SG,80.0,80.0,35.2,0.477,0.363,0.556,0.551,0.913,0.6,2.6,2.6,0.8,0.3,1.6,2.3,16.3,77,205.0
Ray Allen,2010.0,35.0,BOS,SG,80.0,80.0,36.1,0.491,0.444,0.52,0.577,0.881,0.6,2.8,2.7,1.0,0.2,1.5,1.8,16.5,77,205.0
Ray Allen,2011.0,36.0,BOS,SG,46.0,42.0,34.0,0.458,0.453,0.463,0.566,0.915,0.3,2.8,2.4,1.1,0.2,1.5,1.8,14.2,77,205.0
Ray Allen,2012.0,37.0,MIA,SG,79.0,0.0,25.8,0.449,0.419,0.48,0.555,0.886,0.5,2.2,1.7,0.8,0.2,1.3,1.6,10.9,77,205.0
Ray Allen,2013.0,38.0,MIA,SG,73.0,9.0,26.5,0.442,0.375,0.53,0.549,0.905,0.3,2.5,2.0,0.7,0.1,1.2,1.6,9.6,77,205.0
Tony Allen,2008.0,27.0,BOS,SG,46.0,2.0,19.3,0.482,0.222,0.51,0.493,0.725,0.5,1.8,1.4,1.2,0.5,1.7,2.1,7.8,76,213.0
Tony Allen,2009.0,28.0,BOS,SG,54.0,8.0,16.5,0.51,0.0,0.52,0.51,0.605,1.0,1.7,1.3,1.1,0.4,1.2,2.0,6.1,76,213.0
Tony Allen,2010.0,29.0,MEM,SG,72.0,31.0,20.8,0.51,0.174,0.527,0.514,0.753,1.0,1.7,1.4,1.8,0.6,1.2,2.2,8.9,76,213.0
Tony Allen,2011.0,30.0,MEM,SG,58.0,57.0,26.3,0.469,0.308,0.479,0.478,0.8,1.7,2.3,1.4,1.8,0.6,1.6,2.4,9.8,76,213.0
Tony Allen,2012.0,31.0,MEM,SG,79.0,79.0,26.7,0.445,0.125,0.458,0.447,0.717,1.5,3.1,1.2,1.5,0.6,1.2,2.7,8.9,76,213.0
Tony Allen,2013.0,32.0,MEM,SG,55.0,28.0,23.2,0.494,0.234,0.527,0.507,0.628,1.4,2.3,1.7,1.6,0.3,1.6,2.2,9.0,76,213.0
Tony Allen,2014.0,33.0,MEM,SG,63.0,41.0,26.2,0.495,0.345,0.505,0.505,0.627,1.6,2.8,1.4,2.0,0.5,1.4,2.6,8.6,76,213.0
