season,lg_id,team_id,wins,losses,rank_team,avg_age,avg_ht,avg_wt,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,division,conference,finish
2012.0,NBA,NYK,54.0,28.0,1.0,30.2,78.0,218.0,82.0,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16.0,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,Atlantic,E,2.0
2017.0,NBA,OKC,48.0,34.0,2.0,27.3,79.0,219.0,82.0,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,Northwest,W,5.0
2016.0,NBA,OKC,47.0,35.0,2.0,24.7,79.0,218.0,82.0,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,Northwest,W,6.0
2015.0,NBA,OKC,55.0,27.0,1.0,25.8,79.0,227.0,82.0,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,Northwest,W,3.0
2014.0,NBA,OKC,45.0,37.0,2.0,25.4,78.0,221.0,82.0,241.8,38.8,86.8,0.447,7.7,22.7,0.339,31.1,64.1,0.486,18.6,24.6,0.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104.0,Northwest,W,9.0
2013.0,NBA,OKC,59.0,23.0,1.0,26.2,79.0,219.0,82.0,241.5,39.0,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25.0,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,Northwest,W,2.0
2012.0,NBA,OKC,60.0,22.0,1.0,26.0,79.0,219.0,82.0,241.8,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60.0,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,Northwest,W,1.0
2017.0,NBA,ORL,25.0,57.0,4.0,25.6,78.0,213.0,82.0,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,Southeast,E,14.0
2016.0,NBA,ORL,29.0,53.0,5.0,25.3,79.0,218.0,82.0,241.5,38.3,87.0,0.44,8.5,26.1,0.328,29.7,60.9,0.488,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,Southeast,E,13.0
2015.0,NBA,ORL,35.0,47.0,5.0,23.9,79.0,219.0,82.0,242.7,39.5,86.8,0.455,7.8,22.2,0.35,31.8,64.7,0.492,15.2,20.1,0.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1,Southeast,E,11.0
2014.0,NBA,ORL,25.0,57.0,5.0,24.3,79.0,221.0,82.0,240.9,37.5,82.8,0.453,6.8,19.5,0.347,30.8,63.3,0.486,13.9,19.1,0.729,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,Southeast,E,13.0
2013.0,NBA,ORL,23.0,59.0,5.0,24.6,78.0,222.0,82.0,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30.0,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42.0,21.0,7.7,4.3,14.9,20.5,96.5,Southeast,E,13.0
2012.0,NBA,ORL,20.0,62.0,5.0,24.6,78.0,220.0,82.0,241.2,37.7,84.2,0.448,6.2,18.7,0.329,31.5,65.5,0.482,12.5,16.6,0.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,Southeast,E,15.0
2017.0,NBA,PHI,52.0,30.0,3.0,25.8,79.0,220.0,82.0,241.2,40.8,86.6,0.472,11.0,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,Atlantic,E,3.0
2016.0,NBA,PHI,28.0,54.0,4.0,24.6,79.0,219.0,82.0,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17.0,22.0,0.771,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,Atlantic,E,14.0
2015.0,NBA,PHI,10.0,72.0,5.0,23.3,78.0,215.0,82.0,241.5,36.2,84.0,0.431,9.3,27.5,0.339,26.9,56.5,0.476,15.7,22.6,0.694,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4,Atlantic,E,15.0
2014.0,NBA,PHI,18.0,64.0,4.0,23.2,79.0,214.0,82.0,241.5,33.7,82.6,0.408,8.4,26.3,0.32,25.3,56.3,0.449,16.1,23.8,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,Atlantic,E,14.0
2013.0,NBA,PHI,19.0,63.0,5.0,23.4,79.0,213.0,82.0,242.1,37.9,87.2,0.435,7.0,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.5,Atlantic,E,14.0
